user_id,MONTH,YEAR,distance,COUNT
325744,11,2015,118,2
325745,10,2015,416,1
325750,11,2015,296,1
325757,10,2015,248,1
325761,10,2015,56,1
325764,10,2015,656,1
325767,10,2015,240,1
325769,10,2015,416,1
325771,10,2015,40,1
325773,11,2015,328,1
325780,10,2015,120,1
325784,10,2015,40,1
325786,11,2015,4160,2
325787,10,2015,480,1
325788,10,2015,288,2
325789,10,2015,656,1
325792,10,2015,240,1
325799,10,2015,416,1
325802,10,2015,40,1
325804,10,2015,240,1
325807,10,2015,656,1
325813,10,2015,240,1
325815,11,2015,240,1
325815,12,2015,408,1
325821,10,2015,40,1
325825,10,2015,416,1
325827,10,2015,224,1
325830,10,2015,120,1
325835,10,2015,88,1
325846,10,2015,88,1
325847,10,2015,656,1
325862,11,2015,96,1
325865,10,2015,88,1
325866,10,2015,416,1
325868,10,2015,656,1
325870,10,2015,41,1
325872,11,2015,184,2
325884,11,2015,200,3
325889,10,2015,88,1
325898,10,2015,88,1
325909,10,2015,66,1
325910,10,2015,528,2
325915,10,2015,922,2
325917,10,2015,48,2
325917,11,2015,246,2
325918,10,2015,402,1
325919,10,2015,1854,1
325924,10,2015,54,2
325924,11,2015,252,2
325929,10,2015,828,2
325944,10,2015,796,2
325951,10,2015,1072,1
325958,10,2015,74,1
325960,10,2015,432,2
325966,10,2015,775,1
325978,10,2015,24,1
325993,10,2015,408,1
325997,10,2015,1020,1
325997,11,2015,101,1
326008,11,2015,272,3
326018,10,2015,254,1
326023,10,2015,74,1
326026,10,2015,384,1
326027,10,2015,264,1
326027,11,2015,88,1
326028,11,2015,88,1
326033,11,2015,536,1
326035,10,2015,264,1
326035,11,2015,176,2
326044,11,2015,88,1
326049,10,2015,333,1
326051,10,2015,88,1
326063,10,2015,264,1
326068,10,2015,248,1
326071,10,2015,279,1
326074,10,2015,24,1
326081,10,2015,264,1
326087,10,2015,48,2
326087,11,2015,282,2
326091,10,2015,592,1
326096,10,2015,297,1
326099,10,2015,132,1
326099,11,2015,88,1
326104,10,2015,84,1
326107,10,2015,58,1
326108,10,2015,264,1
326108,11,2015,88,1
326112,10,2015,42,2
326112,11,2015,234,3
326113,10,2015,192,1
326114,10,2015,44,1
326117,11,2015,176,2
326121,10,2015,264,1
326123,11,2015,66,1
326134,10,2015,35,2
326134,11,2015,258,2
326137,10,2015,264,1
326138,10,2015,35,2
326138,11,2015,222,2
326143,10,2015,830,1
326143,11,2015,415,1
326147,10,2015,212,1
326152,11,2015,88,1
326168,10,2015,1953,1
326181,10,2015,172,1
326182,10,2015,424,1
326187,10,2015,1764,1
326190,10,2015,600,1
326190,11,2015,3000,5
326190,12,2015,610,1
326192,1,2016,374,2
326192,10,2015,125,1
326192,11,2015,250,1
326202,10,2015,588,2
326209,10,2015,1072,1
326211,10,2015,1457,2
326212,10,2015,590,2
326212,11,2015,2360,8
326212,12,2015,1185,4
326213,10,2015,206,1
326216,10,2015,804,1
326226,10,2015,882,1
